Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,CompanyExperienceRatio,PromotionFrequency,IncomePerYearExperience,SatisfactionScore,RoleTenureRatio
41,Yes,Travel_Rarely,Sales,1,2,Life Sciences,2,Female,3,2,Sales Executive,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5,0.75,0.0,749.125,2.0,0.6666666666666666
49,No,Travel_Frequently,Research & Development,8,1,Life Sciences,3,Male,2,2,Research Scientist,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7,1.0,0.1,513.0,3.0,0.7
37,Yes,Travel_Rarely,Research & Development,2,2,Other,4,Male,2,1,Laboratory Technician,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0,0.0,0.0,298.57142857142856,3.0,0.0
33,No,Travel_Frequently,Research & Development,3,4,Life Sciences,4,Female,3,1,Research Scientist,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0,1.0,0.375,363.625,3.25,0.875
27,No,Travel_Rarely,Research & Development,2,1,Medical,1,Male,3,1,Laboratory Technician,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2,0.3333333333333333,1.0,578.0,2.5,1.0
32,No,Travel_Frequently,Research & Development,2,2,Life Sciences,4,Male,3,1,Laboratory Technician,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6,0.875,0.42857142857142855,383.5,3.25,1.0
59,No,Travel_Rarely,Research & Development,3,3,Medical,3,Female,4,1,Laboratory Technician,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0,0.08333333333333333,0.0,222.5,1.75,0.0
30,No,Travel_Rarely,Research & Development,24,1,Life Sciences,4,Male,3,1,Laboratory Technician,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0,1.0,0.0,2693.0,3.0,0.0
38,No,Travel_Frequently,Research & Development,23,3,Life Sciences,4,Male,2,3,Manufacturing Director,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8,0.9,0.1111111111111111,952.6,3.0,0.7777777777777778
36,No,Travel_Rarely,Research & Development,27,3,Medical,3,Male,3,2,Healthcare Representative,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7,0.4117647058823529,1.0,308.05882352941177,2.5,1.0
35,No,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,0.8333333333333334,0.0,404.3333333333333,2.25,0.8
29,No,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,0.9,0.0,419.3,3.5,0.5555555555555556
31,No,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,1.0,0.8,582.2,2.5,0.4
34,No,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,0.6666666666666666,0.5,887.0,3.0,1.0
28,Yes,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,0.6666666666666666,0.0,338.0,2.75,0.5
29,No,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,1.0,0.8,998.0,2.25,0.9
32,No,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,0.8571428571428571,0.0,471.14285714285717,2.25,0.3333333333333333
22,No,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,1.0,0.0,2935.0,3.0,0.0
53,No,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,0.8064516129032258,0.12,497.64516129032256,2.75,0.32
38,No,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2,0.5,0.3333333333333333,657.3333333333334,3.5,0.6666666666666666
24,No,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3,0.8,0.25,802.2,2.5,0.5
36,Yes,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3,0.5,0.0,340.7,2.25,0.6
34,No,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,0.9230769230769231,0.16666666666666666,922.6153846153846,2.25,0.5
21,No,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,0.0,0.0,1232.0,3.5,0.0
34,Yes,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3,0.5,0.25,370.0,2.25,0.5
53,No,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8,0.5384615384615384,0.2857142857142857,734.3846153846154,3.0,0.9285714285714286
32,Yes,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7,1.0,0.6,391.9,2.0,0.2
42,No,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,0.9,0.4444444444444444,682.5,3.0,0.7777777777777778
44,No,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17,0.9166666666666666,0.22727272727272727,427.0,3.0,0.2727272727272727
46,No,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,0.09090909090909091,1.0,861.2272727272727,2.25,1.0
33,No,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0,0.14285714285714285,0.0,356.57142857142856,3.5,1.0
44,No,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3,0.4444444444444444,0.25,718.3333333333334,4.0,0.5
30,No,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,1.0,0.1,220.6,2.75,0.0
39,Yes,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0,0.05263157894736842,0.0,109.78947368421052,3.75,0.0
24,Yes,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,0.3333333333333333,1.0,382.1666666666667,2.25,0.0
43,No,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4,0.8333333333333334,0.2,440.8333333333333,3.25,0.6
50,Yes,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2,1.0,0.0,894.3333333333334,2.5,0.6666666666666666
35,No,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2,1.0,1.0,1007.0,3.0,1.0
36,No,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0,0.16666666666666666,0.0,569.8333333333334,2.75,1.0
33,No,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3,0.5,0.2,537.6,2.0,0.6
35,No,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,1.0,0.0,1951.0,3.25,0.0
27,No,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,1.0,0.0,2341.0,3.0,0.0
26,Yes,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1,1.0,0.0,2293.0,2.25,0.0
27,No,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,1.0,0.1111111111111111,969.5555555555555,3.5,0.8888888888888888
30,No,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7,1.0,0.25,334.25,3.5,0.6666666666666666
41,Yes,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8,0.9565217391304348,0.6818181818181818,849.7826086956521,3.0,0.6818181818181818
34,No,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7,0.9,0.8888888888888888,456.8,2.75,0.5555555555555556
37,No,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0,0.125,0.0,377.75,2.0,0.0
46,No,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0.6428571428571429,0.0,412.2857142857143,2.75,0.6666666666666666
35,No,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,1.0,0.0,2269.0,3.75,0.0
48,Yes,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0,0.043478260869565216,0.0,233.95652173913044,2.75,0.0
28,Yes,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1.0,1.0,1720.5,2.75,1.0
44,No,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0.4444444444444444,0.25,606.0,2.0,0.75
35,No,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0.4,0.5,988.4,2.5,0.0
26,No,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0.4,0.0,831.4,3.0,1.0
33,No,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12,1.0,0.5333333333333333,897.2,2.75,0.9333333333333333
35,No,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8,1.0,0.1111111111111111,1007.6666666666666,2.25,0.8888888888888888
35,No,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0.5,1.0,1003.5,2.5,1.0
31,No,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7,0.7,0.14285714285714285,591.5,3.5,1.0
37,No,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7,1.0,0.0,856.1428571428571,2.75,0.7142857142857143
32,No,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,1.0,0.7777777777777778,684.6666666666666,2.5,0.8888888888888888
38,No,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9,1.0,0.9,240.6,3.75,0.3
50,No,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0.9310344827586207,0.48148148148148145,646.2068965517242,2.75,0.1111111111111111
59,No,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,0.75,0.3333333333333333,272.75,2.0,0.7619047619047619
36,No,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,1.0,0.7058823529411765,593.8823529411765,2.75,0.8235294117647058
55,No,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0.23809523809523808,0.0,702.6666666666666,3.25,0.0
36,No,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,1.0,0.0,1083.1666666666667,2.5,0.8333333333333334
45,No,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,0.04,0.0,388.96,2.25,0.0
35,No,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,0.6,0.3333333333333333,438.8,2.25,0.6666666666666666
